fromNode,toNode,value,interaction,selfLoop,label,guid
Integer,FluxBalanceAnalysis,6,,False,,402
Computer Science,FluxBalanceAnalysis,34,,False,,403
Biology,FluxBalanceAnalysis,58,,False,,404
Mathematics,Metabolic Network,4,,False,,405
Mathematics,FluxBalanceAnalysis,22,,False,,406
Metabolic Network,FluxBalanceAnalysis,8,,False,,407
Bioinformatics,FluxBalanceAnalysis,88,,False,,408
Algorithm,Computer Science,2,,False,,409
Drug Discovery,Computational Biology,1,,False,,41
Algorithm,FluxBalanceAnalysis,10,,False,,410
Fluxomics,FluxBalanceAnalysis,28,,False,,411
Genetics,FluxBalanceAnalysis,50,,False,,412
Applied Mathematics,FluxBalanceAnalysis,10,,False,,413
Linear Programming,FluxBalanceAnalysis,12,,False,,414
Fluxomics,Biological Network,2,,False,,415
Biological Network,FluxBalanceAnalysis,24,,False,,416
Whole Genome Sequencing,FluxBalanceAnalysis,8,,False,,417
Food Science,Whole Genome Sequencing,1,,False,,418
Food Science,FluxBalanceAnalysis,12,,False,,419
Flux BalanceAnalysis,Computational Biology,17,,False,,42
Gene Knockout,Biology,4,,False,,420
Gene Knockout,FluxBalanceAnalysis,4,,False,,421
Botany,FluxBalanceAnalysis,16,,False,,422
Gene Expression Profiling,Model Organism,2,,False,,423
Gene Expression Profiling,FluxBalanceAnalysis,12,,False,,424
Model Organism,FluxBalanceAnalysis,24,,False,,425
Anabolism,Anaerobic Exercise,2,,False,,426
Anabolism,FluxBalanceAnalysis,4,,False,,427
Anaerobic Exercise,FluxBalanceAnalysis,6,,False,,428
Agronomy,RuBisCO,2,,False,,429
Flux BalanceAnalysis,Drug Discovery,5,,False,,43
Agronomy,Flux BalanceAnalysis,2,,False,,430
RuBisCO,Flux BalanceAnalysis,4,,False,,431
Mathematics,Flux BalanceAnalysis,12,,False,,432
Stochastic Differential Equation,Mathematics,1,,False,,433
Stochastic Differential Equation,Flux BalanceAnalysis,2,,False,,434
Steady State,Chromatography,2,,False,,435
Steady State,Flux BalanceAnalysis,4,,False,,436
Chromatography,Flux BalanceAnalysis,8,,False,,437
Metabolic Engineering,Flux BalanceAnalysis,48,,False,,438
Biochemistry,Flux BalanceAnalysis,68,,False,,439
Botany,Biology,8,,False,,44
Network Analysis,Multi-objective Optimization,2,,False,,440
Network Analysis,Flux BalanceAnalysis,4,,False,,441
Multi-objective Optimization,Flux BalanceAnalysis,2,,False,,442
Chromatography,Biochemistry,4,,False,,443
Glycolysis,Flux BalanceAnalysis,8,,False,,444
Genetically Modified Organism,Genetics,2,,False,,445
Genetically Modified Organism,Flux BalanceAnalysis,2,,False,,446
Gene Expression Profiling,Transcriptional Regulation,2,,False,,447
Transcriptional Regulation,Flux BalanceAnalysis,4,,False,,448
Ecology,Biological Database,2,,False,,449
Botany,Flux BalanceAnalysis,4,,False,,45
Ecology,Flux BalanceAnalysis,18,,False,,450
Biological Database,Flux BalanceAnalysis,2,,False,,451
Pentose Phosphate Pathway,Flux BalanceAnalysis,6,,False,,452
Formalism (philosophy),Computer Science,2,,False,,453
Formalism (philosophy),Flux BalanceAnalysis,2,,False,,454
Computer Science,Flux BalanceAnalysis,50,,False,,455
Environmental Science,Metabolic Engineering,1,,False,,456
Environmental Science,Flux BalanceAnalysis,4,,False,,457
Computer Science,Experimental Data,6,,False,,458
Experimental Data,Flux BalanceAnalysis,4,,False,,459
Biology,Flux BalanceAnalysis,46,,False,,46
Proteomics,Biochemistry,2,,False,,460
Proteomics,Flux BalanceAnalysis,6,,False,,461
Biofilm,Flux BalanceAnalysis,2,,False,,462
Virulence,Biofilm,3,,False,,463
Virulence,Flux BalanceAnalysis,2,,False,,464
Electricity Generation,Ecology,2,,False,,465
Electricity Generation,FluxBalanceAnalysis,4,,False,,466
Ecology,FluxBalanceAnalysis,30,,False,,467
Systems Analysis,FluxBalanceAnalysis,2,,False,,468
Fluxomics,Model Organism,4,,False,,469
Nitrogen Assimilation,Computational Biology,2,,False,,47
inductive logic programming,Biochemistry,1,,False,,470
inductive logic programming,FluxBalanceAnalysis,2,,False,,471
Transcription Factor,Lipid Metabolism,1,,False,,472
Transcription Factor,FluxBalanceAnalysis,4,,False,,473
Metabolic FluxAnalysis,Computational Biology,2,,False,,474
Metabolic FluxAnalysis,FluxBalanceAnalysis,8,,False,,475
Computational Biology,FluxBalanceAnalysis,22,,False,,476
Linear Programming,Biochemistry,2,,False,,477
Bayes' Theorem,Systems Biology,2,,False,,478
Bayes' Theorem,FluxBalanceAnalysis,2,,False,,479
Nitrogen Assimilation,Flux BalanceAnalysis,2,,False,,48
Systems Biology,FluxBalanceAnalysis,6,,False,,480
Biomarker (medicine),Biochemistry,2,,False,,481
Biomarker (medicine),FluxBalanceAnalysis,4,,False,,482
NAD+ Kinase,FluxBalanceAnalysis,2,,False,,483
Parasite Hosting,Bioinformatics,1,,False,,484
Parasite Hosting,FluxBalanceAnalysis,2,,False,,485
Experimental Data,Biology,2,,False,,486
Experimental Data,FluxBalanceAnalysis,8,,False,,487
Bioinformatics,Drug Discovery,2,,False,,488
Drug Discovery,FluxBalanceAnalysis,2,,False,,489
Escherichia Coli,Flux BalanceAnalysis,2,,False,,49
Subnet,Bioinformatics,2,,False,,490
Subnet,FluxBalanceAnalysis,2,,False,,491
Extracellular,Chromatography,2,,False,,492
Extracellular,FluxBalanceAnalysis,6,,False,,493
Chromatography,FluxBalanceAnalysis,20,,False,,494
Proteomics,Genetics,6,,False,,495
Proteomics,FluxBalanceAnalysis,12,,False,,496
Metabolomics,Mitochondrion,2,,False,,497
Metabolomics,FluxBalanceAnalysis,32,,False,,498
Mitochondrion,FluxBalanceAnalysis,4,,False,,499
Genetics,Flux Balance Analysis,124,,False,,5
Computer Network,Escherichia Coli,1,,False,,50
Visualization,Computer Science,2,,False,,500
Visualization,FluxBalanceAnalysis,14,,False,,501
Metabolomics,Electron Transport Chain,2,,False,,502
Electron Transport Chain,FluxBalanceAnalysis,4,,False,,503
Adaptive Response,Genetics,2,,False,,504
Adaptive Response,FluxBalanceAnalysis,2,,False,,505
Predicate Logic,Computer Science,2,,False,,506
Predicate Logic,Flux BalanceAnalysis,2,,False,,507
Metabolic Engineering,Network Analysis,2,,False,,508
Metabolomics,Computer Science,2,,False,,509
Computer Network,Flux BalanceAnalysis,2,,False,,51
Metabolomics,Flux BalanceAnalysis,16,,False,,510
Biomarker (medicine),Biological Network,2,,False,,511
Biomarker (medicine),Flux BalanceAnalysis,6,,False,,512
Biological Network,Flux BalanceAnalysis,10,,False,,513
Fluxomics,Flux BalanceAnalysis,8,,False,,514
Metabolism,Flux BalanceAnalysis,14,,False,,515
Bioprocess,Flux BalanceAnalysis,6,,False,,516
Complex Network,Flux BalanceAnalysis,2,,False,,517
Operations Research,Complex Network,1,,False,,518
Operations Research,Flux BalanceAnalysis,2,,False,,519
Gene Expression Profiling,Flux BalanceAnalysis,4,,False,,52
Electricity Generation,Genetics,2,,False,,520
Applied Mathematics,Mathematics,2,,False,,521
Steady State,FluxBalanceAnalysis,14,,False,,522
Test Data Generation,Fluxomics,1,,False,,523
Test Data Generation,FluxBalanceAnalysis,2,,False,,524
Biophysics,FluxBalanceAnalysis,10,,False,,525
Anesthesia,Biophysics,1,,False,,526
Anesthesia,FluxBalanceAnalysis,2,,False,,527
Transposable Element,Transposon Mutagenesis,2,,False,,528
Transposable Element,FluxBalanceAnalysis,2,,False,,529
Systems Analysis,Gene Expression Profiling,1,,False,,53
Transposon Mutagenesis,FluxBalanceAnalysis,2,,False,,530
Gene Expression Profiling,Bioinformatics,2,,False,,531
Algorithm,Biological Network,2,,False,,532
Environmental Chemistry,Biochemistry,1,,False,,533
Environmental Chemistry,FluxBalanceAnalysis,2,,False,,534
Explicit Knowledge,Biological Network,1,,False,,535
Explicit Knowledge,FluxBalanceAnalysis,2,,False,,536
Mathematics,Computation,2,,False,,537
Computation,FluxBalanceAnalysis,4,,False,,538
Gene Regulatory Network,Bioinformatics,1,,False,,539
Systems Analysis,Flux BalanceAnalysis,2,,False,,54
Gene Regulatory Network,FluxBalanceAnalysis,2,,False,,540
Yield (chemistry),Biochemistry,2,,False,,541
Yield (chemistry),FluxBalanceAnalysis,4,,False,,542
Model Organism,Computer Science,2,,False,,543
Biofuel,FluxBalanceAnalysis,10,,False,,544
Convex Analysis,Fluxomics,2,,False,,545
Community,Metagenomics,2,,False,,546
Community,Flux Balance Analysis,2,,False,,547
Resource Allocation,Ecology,1,,False,,548
Resource Allocation,Flux Balance Analysis,2,,False,,549
Genetics,Flux BalanceAnalysis,40,,False,,55
Transcriptional Regulation,Genetics,2,,False,,550
Bilevel Optimization,Anaerobic Exercise,2,,False,,551
Interactome,Biological Network,2,,False,,552
Interactome,FluxBalanceAnalysis,2,,False,,553
Biological Network,Bioinformatics,2,,False,,554
Metabolomics,Nitrogen Cycle,2,,False,,555
Nitrogen Cycle,FluxBalanceAnalysis,4,,False,,556
Coenzyme Q – Cytochrome C Reductase,Bioinformatics,2,,False,,557
Coenzyme Q – Cytochrome C Reductase,FluxBalanceAnalysis,2,,False,,558
Scalability,Biological Network,1,,False,,559
Bioinformatics,Flux BalanceAnalysis,52,,False,,56
Scalability,FluxBalanceAnalysis,4,,False,,560
Ecology,Food Science,2,,False,,561
Biophysics,Steady State,2,,False,,562
Web Server,Visualization,2,,False,,563
Web Server,FluxBalanceAnalysis,2,,False,,564
Principal Component Analysis,Biochemistry,2,,False,,565
Principal Component Analysis,FluxBalanceAnalysis,2,,False,,566
DNA Sequencing,FluxBalanceAnalysis,4,,False,,567
Fuzzy Logic,Biochemistry,2,,False,,568
Fuzzy Logic,FluxBalanceAnalysis,2,,False,,569
Extracellular,Flux BalanceAnalysis,4,,False,,57
Vector Space,Applied Mathematics,2,,False,,570
Vector Space,FluxBalanceAnalysis,2,,False,,571
Osmoprotectant,Biochemistry,4,,False,,572
Osmoprotectant,FluxBalanceAnalysis,4,,False,,573
Bioprocess,FluxBalanceAnalysis,8,,False,,574
Bioprocess,Proteomics,2,,False,,575
Isotopic Labeling,Biochemistry,2,,False,,576
Isotopic Labeling,Flux BalanceAnalysis,4,,False,,577
Bioprocess Engineering,Biochemistry,1,,False,,578
Bioprocess Engineering,Flux BalanceAnalysis,2,,False,,579
Recombinant DNA,Extracellular,1,,False,,58
Sustainability,Biology,2,,False,,580
Sustainability,Flux BalanceAnalysis,2,,False,,581
Computer Science,Computational Biology,4,,False,,582
Interoperability,Biological Network,2,,False,,583
Interoperability,Flux BalanceAnalysis,2,,False,,584
Metagenomics,Bioinformatics,2,,False,,585
Metagenomics,Flux BalanceAnalysis,6,,False,,586
Metabolomics,Proteomics,6,,False,,587
Titer,Biochemistry,2,,False,,588
Titer,Flux BalanceAnalysis,2,,False,,589
Recombinant DNA,Flux BalanceAnalysis,2,,False,,59
Pentose Phosphate Pathway,RuBisCO,2,,False,,590
Complex System,Biochemistry,2,,False,,591
Complex System,Flux BalanceAnalysis,2,,False,,592
Anaerobic Exercise,Chromatography,2,,False,,593
Bacterial Growth,Gene Expression Profiling,2,,False,,594
Bacterial Growth,FluxBalanceAnalysis,6,,False,,595
Transcriptome,FluxBalanceAnalysis,1,,False,,596
Energy Metabolism,FluxBalanceAnalysis,1,,False,,597
Energy Metabolism,Transcriptome,1,,False,,598
Ethanol Fuel,Biochemistry,1,,False,,599
Bioinformatics,Biology,70,,False,,6
Metabolic Network,Flux BalanceAnalysis,14,,False,,60
Ethanol Fuel,FluxBalanceAnalysis,2,,False,,600
Genetic Variation,Biochemistry,1,,False,,601
Genetic Variation,FluxBalanceAnalysis,2,,False,,602
Protein Biosynthesis,Biochemistry,2,,False,,603
Protein Biosynthesis,FluxBalanceAnalysis,2,,False,,604
Biological Network,Flux (metallurgy),2,,False,,605
Flux (metallurgy),FluxBalanceAnalysis,8,,False,,606
Lipid Metabolism,Biomarker (medicine),2,,False,,607
Biomarker (medicine),Flux Balance Analysis,2,,False,,608
Linear Combination,Biochemistry,2,,False,,609
Data Mining,Flux BalanceAnalysis,2,,False,,61
Computational Science,Flux Balance Analysis,2,,False,,610
Dynamic Network Analysis,Computational Science,1,,False,,611
Dynamic Network Analysis,Flux Balance Analysis,2,,False,,612
Botany,Flux (metallurgy),2,,False,,613
Cellular Respiration,Biochemistry,1,,False,,614
Cellular Respiration,Flux Balance Analysis,2,,False,,615
Theory of Computation,Genetic Algorithm,1,,False,,616
Theory of Computation,Flux Balance Analysis,2,,False,,617
Biophysics,Bioinformatics,2,,False,,618
Fluxomics,Metabolomics,12,,False,,619
Engineering,Data Mining,1,,False,,62
Computation,Biochemistry,2,,False,,620
Computational And Statistical Genetics,FluxBalanceAnalysis,2,,False,,621
Computational Genomics,Computational And Statistical Genetics,1,,False,,622
Computational Genomics,FluxBalanceAnalysis,2,,False,,623
Principle of Maximum Entropy,Steady State,2,,False,,624
Principle of Maximum Entropy,FluxBalanceAnalysis,4,,False,,625
Biochemistry,Flux (metallurgy),2,,False,,626
Linear Combination,Gene Expression Profiling,2,,False,,627
Linear Combination,FluxBalanceAnalysis,4,,False,,628
Metabolic Engineering,Model Organism,2,,False,,629
Engineering,Flux BalanceAnalysis,2,,False,,63
Computer Programming,Graphical User Interface,2,,False,,630
Computer Programming,FluxBalanceAnalysis,2,,False,,631
Graphical User Interface,FluxBalanceAnalysis,2,,False,,632
Bioremediation,Bioinformatics,4,,False,,633
Bioremediation,FluxBalanceAnalysis,4,,False,,634
Fermentation,Biochemistry,3,,False,,635
Fermentation,FluxBalanceAnalysis,4,,False,,636
Mathematics,Metabolism,2,,False,,637
Pathosystem,Bioinformatics,2,,False,,638
Pathosystem,FluxBalanceAnalysis,2,,False,,639
Markup Language,Bioinformatics,2,,False,,64
Natural Selection,Metabolic Network,1,,False,,640
Natural Selection,FluxBalanceAnalysis,2,,False,,641
Systems Biology,Metabolism,2,,False,,642
Ecology,Complex System,2,,False,,643
Complex System,FluxBalanceAnalysis,4,,False,,644
Fluxomics,Computer Science,2,,False,,645
Signal Transduction,Bioinformatics,1,,False,,646
Signal Transduction,Flux Balance Analysis,2,,False,,647
Ecology,Evolutionary Game Theory,2,,False,,648
Network Theory,Laws of Thermodynamics,2,,False,,649
Markup Language,Flux Balance Analysis,2,,False,,65
Network Theory,Flux Balance Analysis,2,,False,,650
Control Theory,FluxBalanceAnalysis,2,,False,,651
Optimal Control,Control Theory,1,,False,,652
Optimal Control,FluxBalanceAnalysis,2,,False,,653
Pentose Phosphate Pathway,Metabolic Engineering,6,,False,,654
Transposition (music),Genetics,2,,False,,655
Transposition (music),FluxBalanceAnalysis,2,,False,,656
Biological Network,Biology,2,,False,,657
Gapless Playback,Computer Science,2,,False,,658
Gapless Playback,FluxBalanceAnalysis,2,,False,,659
Biochemistry,Biology,54,,False,,66
Enzyme Kinetics,FluxBalanceAnalysis,2,,False,,660
Bacterial Growth,Auxotrophy,2,,False,,661
Auxotrophy,FluxBalanceAnalysis,2,,False,,662
Nitrogen Cycle,Biochemistry,2,,False,,663
Raw Material,FluxBalanceAnalysis,1,,False,,664
Raw Material,Metabolic FluxAnalysis,1,,False,,665
Documentation,Computer Science,1,,False,,666
Documentation,FluxBalanceAnalysis,2,,False,,667
Metabolic Engineering,Algorithm,4,,False,,668
Chemical Engineering,FluxBalanceAnalysis,2,,False,,669
Experimental Data,Computational Biology,2,,False,,67
Biomining,Chemical Engineering,1,,False,,670
Biomining,FluxBalanceAnalysis,2,,False,,671
Metabolic Engineering,Yield (chemistry),2,,False,,672
Microarray Analysis Techniques,Biochemistry,4,,False,,673
Microarray Analysis Techniques,FluxBalanceAnalysis,4,,False,,674
Metabolic Engineering,Whole Genome Sequencing,2,,False,,675
Text Mining,FluxBalanceAnalysis,4,,False,,676
Text Mining,Bioinformatics,4,,False,,677
Generating Set of A Group,Steady State,2,,False,,678
Generating Set of A Group,FluxBalanceAnalysis,2,,False,,679
Linear Programming,Bioinformatics,2,,False,,68
Shapley Value,FluxBalanceAnalysis,2,,False,,680
Cooperative Game Theory,Shapley Value,1,,False,,681
Cooperative Game Theory,FluxBalanceAnalysis,2,,False,,682
Genetic Algorithm,FluxBalanceAnalysis,2,,False,,683
Niche Construction,Ecology,2,,False,,684
Niche Construction,Flux BalanceAnalysis,2,,False,,685
Imagination,Algorithm,2,,False,,686
Imagination,Flux BalanceAnalysis,2,,False,,687
Algorithm,Flux BalanceAnalysis,8,,False,,688
Linear Programming,Flux BalanceAnalysis,8,,False,,689
Linear Programming,Flux Balance Analysis,22,,False,,69
Combinatorial Optimization,Linear Programming,1,,False,,690
Combinatorial Optimization,Flux BalanceAnalysis,2,,False,,691
Stable Isotope Ratio,Metabolomics,1,,False,,692
Stable Isotope Ratio,Flux BalanceAnalysis,2,,False,,693
Monte Carlo Method,Flux BalanceAnalysis,2,,False,,694
Bioprocess,Environmental Science,2,,False,,695
Centrality,Fluxomics,1,,False,,696
Centrality,FluxBalanceAnalysis,4,,False,,697
Feedback Vertex Set,Integer,1,,False,,698
Feedback Vertex Set,FluxBalanceAnalysis,2,,False,,699
Bioinformatics,Flux Balance Analysis,166,,False,,7
Gene,Biology,1,,False,,70
Markup Language,FluxBalanceAnalysis,4,,False,,700
Climatology,Markup Language,1,,False,,701
Climatology,FluxBalanceAnalysis,2,,False,,702
Microbiology,FluxBalanceAnalysis,2,,False,,703
Linear System,Monte Carlo Method,2,,False,,704
Linear System,FluxBalanceAnalysis,4,,False,,705
Monte Carlo Method,FluxBalanceAnalysis,2,,False,,706
Carbon Cycle,FluxBalanceAnalysis,2,,False,,707
Resource Management,Carbon Cycle,1,,False,,708
Resource Management,FluxBalanceAnalysis,2,,False,,709
Gene,Flux Balance Analysis,2,,False,,71
Metabolic Engineering,RuBisCO,2,,False,,710
Quadruple-precision Floating-point Format,FluxBalanceAnalysis,2,,False,,711
MINOS,Quadruple-precision Floating-point Format,1,,False,,712
MINOS,FluxBalanceAnalysis,2,,False,,713
Biological Network,Visualization,2,,False,,714
Constraint Satisfaction Problem,Metabolic FluxAnalysis,1,,False,,715
Constraint Satisfaction Problem,FluxBalanceAnalysis,2,,False,,716
Food Science,Chromatography,4,,False,,717
Model Organism,Proteomics,2,,False,,718
Personalized Medicine,FluxBalanceAnalysis,2,,False,,719
Proteomics,Flux Balance Analysis,18,,False,,72
Convergence (routing),Personalized Medicine,1,,False,,720
Convergence (routing),FluxBalanceAnalysis,2,,False,,721
Biochemical Engineering,Chromatography,1,,False,,722
Biochemical Engineering,FluxBalanceAnalysis,1,,False,,723
Virtual Screening,Metabolic Network,1,,False,,724
Virtual Screening,FluxBalanceAnalysis,1,,False,,725
Model Organism,Metabolomics,2,,False,,726
SBML,Bioinformatics,1,,False,,727
SBML,FluxBalanceAnalysis,2,,False,,728
Metabolic Model,Metabolic Network,2,,False,,729
DNA Sequencing,Proteomics,3,,False,,73
Metabolic Model,FluxBalanceAnalysis,2,,False,,730
Complex Network,Computer Science,4,,False,,731
Complex Network,FluxBalanceAnalysis,8,,False,,732
Glycolysis,Bioinformatics,2,,False,,733
Glycolysis,FluxBalanceAnalysis,2,,False,,734
Chemical Kinetics,Steady State,1,,False,,735
Chemical Kinetics,FluxBalanceAnalysis,2,,False,,736
Breast Cancer,Proteomics,1,,False,,737
Breast Cancer,FluxBalanceAnalysis,2,,False,,738
Acetic Acid,FluxBalanceAnalysis,2,,False,,739
DNA Sequencing,Flux Balance Analysis,10,,False,,74
Photosynthesis,Acetic Acid,1,,False,,740
Photosynthesis,FluxBalanceAnalysis,2,,False,,741
Ecology,Experimental Data,2,,False,,742
Cross-validation,Mathematics,2,,False,,743
Cross-validation,FluxBalanceAnalysis,2,,False,,744
Simulation,Linear Programming,1,,False,,745
Simulation,FluxBalanceAnalysis,2,,False,,746
Complex Network,Bioinformatics,2,,False,,747
Nitrogen Assimilation,Nitrogen Cycle,2,,False,,748
Network Analysis,Steady State,2,,False,,749
Multicellular Organism,Bioinformatics,1,,False,,75
Pentose Phosphate Pathway,Genetically Modified Organism,2,,False,,750
Genetically Modified Organism,Flux Balance Analysis,2,,False,,751
Genetics,Computational Model,2,,False,,752
Metabolic Waste,Extracellular,1,,False,,753
Metabolic Waste,Flux Balance Analysis,2,,False,,754
Anabolism,Ecology,2,,False,,755
Metabolic FluxAnalysis,Photosynthesis,2,,False,,756
Flux Balance Analysis,Photosynthesis,2,,False,,757
Bioprocess,Chromatography,2,,False,,758
Differential Evolution,Chromatography,1,,False,,759
Multicellular Organism,Flux Balance Analysis,2,,False,,76
Differential Evolution,FluxBalanceAnalysis,2,,False,,760
Penalty Method,FluxBalanceAnalysis,4,,False,,761
Subspace Topology,Penalty Method,1,,False,,762
Subspace Topology,FluxBalanceAnalysis,2,,False,,763
Heterotroph,FluxBalanceAnalysis,2,,False,,764
Essential Nutrient,FluxBalanceAnalysis,2,,False,,765
Chemically Defined Medium,Essential Nutrient,1,,False,,766
Chemically Defined Medium,FluxBalanceAnalysis,1,,False,,767
Complex System,Biology,2,,False,,768
Linear System,Biochemistry,2,,False,,769
Epistasis And Functional Genomics,Genetics,4,,False,,77
Computer Science,Computational Model,2,,False,,770
Glycolysis,Mitochondrion,2,,False,,771
Biological Computation,Computer Science,1,,False,,772
Biological Computation,Flux Balance Analysis,2,,False,,773
Photophosphorylation,Biochemistry,2,,False,,774
Null Allele,Genetics,1,,False,,775
Null Allele,Flux Balance Analysis,2,,False,,776
Epistasis,Genetics,3,,False,,777
Epistasis,Flux Balance Analysis,4,,False,,778
Model Organism,Bioinformatics,2,,False,,779
Epistasis And Functional Genomics,Flux Balance Analysis,2,,False,,78
Microarray Analysis Techniques,Genetics,2,,False,,780
Heaviside Step Function,Penalty Method,1,,False,,781
Heaviside Step Function,FluxBalanceAnalysis,2,,False,,782
Genetic Design,FluxBalanceAnalysis,2,,False,,783
Cell Metabolism,Genetic Design,1,,False,,784
Cell Metabolism,FluxBalanceAnalysis,2,,False,,785
Phloem,Botany,2,,False,,786
Phloem,FluxBalanceAnalysis,2,,False,,787
Second Law of Thermodynamics,Chromatography,1,,False,,788
Second Law of Thermodynamics,FluxBalanceAnalysis,2,,False,,789
Knowledge Base,Flux Balance Analysis,4,,False,,79
Metagenomics,FluxBalanceAnalysis,4,,False,,790
Biotransformation,Metagenomics,1,,False,,791
Biotransformation,FluxBalanceAnalysis,2,,False,,792
Biotechnology,Biology,3,,False,,793
Biotechnology,Flux BalanceAnalysis,2,,False,,794
Electricity Generation,Flux BalanceAnalysis,2,,False,,795
Mixotroph,Electricity Generation,1,,False,,796
Mixotroph,Flux BalanceAnalysis,2,,False,,797
Feature Selection,Flux BalanceAnalysis,1,,False,,798
Machine Learning,Flux BalanceAnalysis,3,,False,,799
Computational Biology,Genetics,5,,False,,8
Human Pathogen,Knowledge Base,1,,False,,80
Machine Learning,Feature Selection,1,,False,,800
Stationary State,Flux BalanceAnalysis,1,,False,,801
Markov Chain Monte Carlo,Flux BalanceAnalysis,1,,False,,802
Markov Chain Monte Carlo,Stationary State,1,,False,,803
Dilution,Biochemistry,1,,False,,804
Dilution,Flux BalanceAnalysis,2,,False,,805
Classical Mechanics,Biological Network,1,,False,,806
Classical Mechanics,Flux BalanceAnalysis,2,,False,,807
Bacillus Subtilis,Flux BalanceAnalysis,2,,False,,808
Linear Combination,Principle of Maximum Entropy,2,,False,,809
Human Pathogen,Flux Balance Analysis,4,,False,,81
Bilevel Optimization,Mathematics,2,,False,,810
Bilevel Optimization,FluxBalanceAnalysis,2,,False,,811
Whole Genome Sequencing,Genetics,2,,False,,812
Excretion,Metabolomics,2,,False,,813
Excretion,FluxBalanceAnalysis,2,,False,,814
Model Organism,Symbiosis,2,,False,,815
Symbiosis,FluxBalanceAnalysis,4,,False,,816
Strain (chemistry),FluxBalanceAnalysis,2,,False,,817
Gene Expression Profiling,Extracellular,2,,False,,818
Linear Programming,Markup Language,2,,False,,819
Aspergillus Niger,Flux Balance Analysis,1,,False,,82
Mathematics,Integer Programming,2,,False,,820
Integer Programming,FluxBalanceAnalysis,2,,False,,821
Algorithm,Mathematics,6,,False,,822
Visualization,Bioinformatics,2,,False,,823
Bioprocess,Biofuel,2,,False,,824
Ecology,Biological Network,2,,False,,825
Ant Colony Optimization Algorithms,Metabolic Engineering,1,,False,,826
Ant Colony Optimization Algorithms,FluxBalanceAnalysis,2,,False,,827
Circadian Clock,Genetics,2,,False,,828
Circadian Clock,FluxBalanceAnalysis,2,,False,,829
Functional Genomics,Flux Balance Analysis,1,,False,,83
Enzyme,Homeostasis,2,,False,,830
Enzyme,FluxBalanceAnalysis,2,,False,,831
Homeostasis,FluxBalanceAnalysis,2,,False,,832
Ecology,Computer Science,2,,False,,833
Applied Mathematics,Resource Allocation,2,,False,,834
Resource Allocation,FluxBalanceAnalysis,2,,False,,835
Real Algebraic Geometry,FluxBalanceAnalysis,2,,False,,836
Quantifier Elimination,Real Algebraic Geometry,1,,False,,837
Quantifier Elimination,FluxBalanceAnalysis,2,,False,,838
Text Mining,Flux BalanceAnalysis,2,,False,,839
Functional Genomics,Aspergillus Niger,1,,False,,84
Computational Science,Computer Science,2,,False,,840
Computational Science,Flux BalanceAnalysis,2,,False,,841
Metabolic Engineering,Computational Biology,2,,False,,842
Metabolic Engineering,Glycolysis,2,,False,,843
Computer Science,Cell Biology,2,,False,,844
Cell Biology,Flux BalanceAnalysis,2,,False,,845
Food Science,Biochemistry,4,,False,,846
Food Science,Flux BalanceAnalysis,4,,False,,847
Metabolomics,Biology,2,,False,,848
Ecology,Bioinformatics,2,,False,,849
Metabolic Engineering,Biology,10,,False,,85
Bat Algorithm,Metabolic Engineering,2,,False,,850
Bat Algorithm,FluxBalanceAnalysis,2,,False,,851
Computational Biology,Mathematical Model,2,,False,,852
Mathematical Model,FluxBalanceAnalysis,2,,False,,853
Ecological Network,Complex Network,1,,False,,854
Ecological Network,FluxBalanceAnalysis,2,,False,,855
Division of Labour,Metabolic Engineering,2,,False,,856
Division of Labour,FluxBalanceAnalysis,2,,False,,857
Biofilm,FluxBalanceAnalysis,2,,False,,858
Virulence,FluxBalanceAnalysis,2,,False,,859
Thermophile,Flux Balance Analysis,4,,False,,86
Plasma Protein Binding,Biological Network,1,,False,,860
Plasma Protein Binding,FluxBalanceAnalysis,2,,False,,861
Biological Network,Metabolism,2,,False,,862
Bounded Function,Applied Mathematics,1,,False,,863
Bounded Function,FluxBalanceAnalysis,2,,False,,864
Metabolic Flux Analysis,Flux BalanceAnalysis,3,,False,,865
Nuclear Magnetic Resonance,Flux BalanceAnalysis,1,,False,,866
Nuclear Magnetic Resonance,Metabolic Flux Analysis,1,,False,,867
Strain (chemistry),Biology,2,,False,,868
Strain (chemistry),Flux BalanceAnalysis,4,,False,,869
Biofuel,Thermophile,1,,False,,87
Transcriptional Regulation,Bioinformatics,2,,False,,870
Anaerobic Exercise,Food Science,2,,False,,871
Anaerobic Exercise,Flux BalanceAnalysis,2,,False,,872
Fatty Acid Synthesis,Flux BalanceAnalysis,1,,False,,873
Fatty Acid Synthesis,Metabolic Network,2,,False,,874
Cancer,Flux BalanceAnalysis,2,,False,,875
Targeted Drug Delivery,Cancer,1,,False,,876
Targeted Drug Delivery,Flux BalanceAnalysis,2,,False,,877
Lipid Metabolism,Flux BalanceAnalysis,2,,False,,878
Lipidomics,Lipid Metabolism,1,,False,,879
Biofuel,Flux Balance Analysis,18,,False,,88
Lipidomics,Flux BalanceAnalysis,2,,False,,880
Pearson Product-moment Correlation Coefficient,Biochemistry,2,,False,,881
Pearson Product-moment Correlation Coefficient,Flux BalanceAnalysis,2,,False,,882
Evolutionary Algorithm,Metabolic Engineering,1,,False,,883
Evolutionary Algorithm,Flux BalanceAnalysis,1,,False,,884
Bioprocess,Metabolic Network,2,,False,,885
Fluxomics,Proteomics,2,,False,,886
